2021-04-21 23:17:59 install dash:amd64 <none> 0.5.11+git20200708+dd9ef66+really0.5.11+git20200708+dd9ef66-5ubuntu1
2021-04-21 23:17:59 status half-installed dash:amd64 0.5.11+git20200708+dd9ef66+really0.5.11+git20200708+dd9ef66-5ubuntu1
2021-04-21 23:17:59 status unpacked dash:amd64 0.5.11+git20200708+dd9ef66+really0.5.11+git20200708+dd9ef66-5ubuntu1
2021-04-21 23:17:59 upgrade debconf:all 1.5.74 1.5.74
2021-04-21 23:17:59 status half-configured debconf:all 1.5.74
2021-04-21 23:17:59 status unpacked debconf:all 1.5.74
2021-04-21 23:17:59 status half-installed debconf:all 1.5.74
2021-04-21 23:17:59 status unpacked debconf:all 1.5.74
2021-04-21 23:17:59 install debianutils:amd64 <none> 4.11.2
2021-04-21 23:17:59 status half-installed debianutils:amd64 4.11.2
2021-04-21 23:17:59 status unpacked debianutils:amd64 4.11.2
2021-04-21 23:17:59 install diffutils:amd64 <none> 1:3.7-3ubuntu1
2021-04-21 23:17:59 status half-installed diffutils:amd64 1:3.7-3ubuntu1
2021-04-21 23:17:59 status unpacked diffutils:amd64 1:3.7-3ubuntu1
2021-04-21 23:17:59 upgrade dpkg:amd64 1.20.9ubuntu1 1.20.9ubuntu1
2021-04-21 23:17:59 status half-configured dpkg:amd64 1.20.9ubuntu1
2021-04-21 23:17:59 status unpacked dpkg:amd64 1.20.9ubuntu1
2021-04-21 23:17:59 status half-installed dpkg:amd64 1.20.9ubuntu1
2021-04-21 23:17:59 status unpacked dpkg:amd64 1.20.9ubuntu1
2021-04-21 23:17:59 install e2fsprogs:amd64 <none> 1.45.7-1ubuntu2
2021-04-21 23:17:59 status half-installed e2fsprogs:amd64 1.45.7-1ubuntu2
2021-04-21 23:17:59 status unpacked e2fsprogs:amd64 1.45.7-1ubuntu2
2021-04-21 23:17:59 install findutils:amd64 <none> 4.8.0-1ubuntu1
2021-04-21 23:17:59 status half-installed findutils:amd64 4.8.0-1ubuntu1
2021-04-21 23:18:00 status unpacked findutils:amd64 4.8.0-1ubuntu1
2021-04-21 23:18:00 install gcc-11-base:amd64 <none> 11-20210417-1ubuntu1
2021-04-21 23:18:00 status half-installed gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:00 status unpacked gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:00 install grep:amd64 <none> 3.6-1
2021-04-21 23:18:00 status half-installed grep:amd64 3.6-1
2021-04-21 23:18:00 status unpacked grep:amd64 3.6-1
2021-04-21 23:18:00 install gzip:amd64 <none> 1.10-2ubuntu3
2021-04-21 23:18:00 status half-installed gzip:amd64 1.10-2ubuntu3
2021-04-21 23:18:00 status unpacked gzip:amd64 1.10-2ubuntu3
2021-04-21 23:18:00 install hostname:amd64 <none> 3.23
2021-04-21 23:18:00 status half-installed hostname:amd64 3.23
2021-04-21 23:18:00 status unpacked hostname:amd64 3.23
2021-04-21 23:18:00 install init-system-helpers:all <none> 1.60
2021-04-21 23:18:00 status half-installed init-system-helpers:all 1.60
2021-04-21 23:18:00 status unpacked init-system-helpers:all 1.60
2021-04-21 23:18:00 install libacl1:amd64 <none> 2.2.53-10ubuntu1
2021-04-21 23:18:00 status half-installed libacl1:amd64 2.2.53-10ubuntu1
2021-04-21 23:18:00 status unpacked libacl1:amd64 2.2.53-10ubuntu1
2021-04-21 23:18:00 install libattr1:amd64 <none> 1:2.4.48-6build1
2021-04-21 23:18:00 status half-installed libattr1:amd64 1:2.4.48-6build1
2021-04-21 23:18:00 status unpacked libattr1:amd64 1:2.4.48-6build1
2021-04-21 23:18:00 install libaudit-common:all <none> 1:3.0-2ubuntu1
2021-04-21 23:18:00 status half-installed libaudit-common:all 1:3.0-2ubuntu1
2021-04-21 23:18:00 status unpacked libaudit-common:all 1:3.0-2ubuntu1
2021-04-21 23:18:00 install libaudit1:amd64 <none> 1:3.0-2ubuntu1
2021-04-21 23:18:00 status half-installed libaudit1:amd64 1:3.0-2ubuntu1
2021-04-21 23:18:00 status unpacked libaudit1:amd64 1:3.0-2ubuntu1
2021-04-21 23:18:00 install libblkid1:amd64 <none> 2.36.1-7ubuntu2
2021-04-21 23:18:00 status half-installed libblkid1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:00 status unpacked libblkid1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:00 install libbz2-1.0:amd64 <none> 1.0.8-4ubuntu3
2021-04-21 23:18:00 status half-installed libbz2-1.0:amd64 1.0.8-4ubuntu3
2021-04-21 23:18:00 status unpacked libbz2-1.0:amd64 1.0.8-4ubuntu3
2021-04-21 23:18:00 install libc-bin:amd64 <none> 2.33-0ubuntu5
2021-04-21 23:18:00 status half-installed libc-bin:amd64 2.33-0ubuntu5
2021-04-21 23:18:00 status unpacked libc-bin:amd64 2.33-0ubuntu5
2021-04-21 23:18:00 upgrade libc6:amd64 2.33-0ubuntu5 2.33-0ubuntu5
2021-04-21 23:18:00 status half-configured libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:00 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:00 status half-installed libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:01 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:01 install libcap-ng0:amd64 <none> 0.7.9-2.2build1
2021-04-21 23:18:01 status half-installed libcap-ng0:amd64 0.7.9-2.2build1
2021-04-21 23:18:01 status unpacked libcap-ng0:amd64 0.7.9-2.2build1
2021-04-21 23:18:01 install libcap2:amd64 <none> 1:2.44-1build1
2021-04-21 23:18:01 status half-installed libcap2:amd64 1:2.44-1build1
2021-04-21 23:18:01 status unpacked libcap2:amd64 1:2.44-1build1
2021-04-21 23:18:01 install libcom-err2:amd64 <none> 1.45.7-1ubuntu2
2021-04-21 23:18:01 status half-installed libcom-err2:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:01 status unpacked libcom-err2:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:01 install libcrypt1:amd64 <none> 1:4.4.17-1ubuntu3
2021-04-21 23:18:01 status half-installed libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-21 23:18:01 status unpacked libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-21 23:18:01 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu4
2021-04-21 23:18:01 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu4
2021-04-21 23:18:01 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu4
2021-04-21 23:18:01 install libdebconfclient0:amd64 <none> 0.256ubuntu3
2021-04-21 23:18:01 status half-installed libdebconfclient0:amd64 0.256ubuntu3
2021-04-21 23:18:01 status unpacked libdebconfclient0:amd64 0.256ubuntu3
2021-04-21 23:18:01 install libext2fs2:amd64 <none> 1.45.7-1ubuntu2
2021-04-21 23:18:01 status half-installed libext2fs2:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:01 status unpacked libext2fs2:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:01 install libgcc-s1:amd64 <none> 11-20210417-1ubuntu1
2021-04-21 23:18:01 status half-installed libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:01 status unpacked libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:01 install libgcrypt20:amd64 <none> 1.8.7-2ubuntu2
2021-04-21 23:18:01 status half-installed libgcrypt20:amd64 1.8.7-2ubuntu2
2021-04-21 23:18:01 status unpacked libgcrypt20:amd64 1.8.7-2ubuntu2
2021-04-21 23:18:01 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1ubuntu2
2021-04-21 23:18:01 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1ubuntu2
2021-04-21 23:18:01 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1ubuntu2
2021-04-21 23:18:01 install libgpg-error0:amd64 <none> 1.38-2build1
2021-04-21 23:18:01 status half-installed libgpg-error0:amd64 1.38-2build1
2021-04-21 23:18:02 status unpacked libgpg-error0:amd64 1.38-2build1
2021-04-21 23:18:02 install liblz4-1:amd64 <none> 1.9.3-1build1
2021-04-21 23:18:02 status half-installed liblz4-1:amd64 1.9.3-1build1
2021-04-21 23:18:02 status unpacked liblz4-1:amd64 1.9.3-1build1
2021-04-21 23:18:02 install liblzma5:amd64 <none> 5.2.5-1.0build2
2021-04-21 23:18:02 status half-installed liblzma5:amd64 5.2.5-1.0build2
2021-04-21 23:18:02 status unpacked liblzma5:amd64 5.2.5-1.0build2
2021-04-21 23:18:02 install libmount1:amd64 <none> 2.36.1-7ubuntu2
2021-04-21 23:18:02 status half-installed libmount1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:02 status unpacked libmount1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:02 install libncurses6:amd64 <none> 6.2+20201114-2build1
2021-04-21 23:18:02 status half-installed libncurses6:amd64 6.2+20201114-2build1
2021-04-21 23:18:02 status unpacked libncurses6:amd64 6.2+20201114-2build1
2021-04-21 23:18:02 install libncursesw6:amd64 <none> 6.2+20201114-2build1
2021-04-21 23:18:02 status half-installed libncursesw6:amd64 6.2+20201114-2build1
2021-04-21 23:18:02 status unpacked libncursesw6:amd64 6.2+20201114-2build1
2021-04-21 23:18:02 install libpam-modules:amd64 <none> 1.3.1-5ubuntu6
2021-04-21 23:18:02 status half-installed libpam-modules:amd64 1.3.1-5ubuntu6
2021-04-21 23:18:02 status unpacked libpam-modules:amd64 1.3.1-5ubuntu6
2021-04-21 23:18:02 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu6
2021-04-21 23:18:02 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu6
2021-04-21 23:18:02 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu6
2021-04-21 23:18:02 install libpam-runtime:all <none> 1.3.1-5ubuntu6
2021-04-21 23:18:02 status half-installed libpam-runtime:all 1.3.1-5ubuntu6
2021-04-21 23:18:02 status unpacked libpam-runtime:all 1.3.1-5ubuntu6
2021-04-21 23:18:02 install libpam0g:amd64 <none> 1.3.1-5ubuntu6
2021-04-21 23:18:02 status half-installed libpam0g:amd64 1.3.1-5ubuntu6
2021-04-21 23:18:02 status unpacked libpam0g:amd64 1.3.1-5ubuntu6
2021-04-21 23:18:02 install libpcre2-8-0:amd64 <none> 10.36-2ubuntu5
2021-04-21 23:18:02 status half-installed libpcre2-8-0:amd64 10.36-2ubuntu5
2021-04-21 23:18:02 status unpacked libpcre2-8-0:amd64 10.36-2ubuntu5
2021-04-21 23:18:02 install libpcre3:amd64 <none> 2:8.39-13build3
2021-04-21 23:18:02 status half-installed libpcre3:amd64 2:8.39-13build3
2021-04-21 23:18:02 status unpacked libpcre3:amd64 2:8.39-13build3
2021-04-21 23:18:02 install libprocps8:amd64 <none> 2:3.3.16-5ubuntu3
2021-04-21 23:18:02 status half-installed libprocps8:amd64 2:3.3.16-5ubuntu3
2021-04-21 23:18:02 status unpacked libprocps8:amd64 2:3.3.16-5ubuntu3
2021-04-21 23:18:02 install libselinux1:amd64 <none> 3.1-3build1
2021-04-21 23:18:02 status half-installed libselinux1:amd64 3.1-3build1
2021-04-21 23:18:02 status unpacked libselinux1:amd64 3.1-3build1
2021-04-21 23:18:02 install libsemanage-common:all <none> 3.1-1ubuntu1
